tissue_type,run,bases,download_size,accession_no,select_item_no
museum tissue,994483 ,298.3M,112.3Mb,SRX15687406,22314921
salvaged tissue,885904 ,265.8M,104Mb,SRX15687405,22314920
museum tissue,4200000.0,1.3G,487.8Mb,SRX15687404,22314919
museum tissue,1478 ,262,960b,SRX15687403,22314918
museum tissue,123931 ,37.2M,14.4Mb,SRX15687402,22314917
museum tissue,4900000.0,1.5G,533Mb,SRX15687401,22314916
blood,590934 ,177.3M,65.1Mb,SRX15687400,22314915
blood,12000000.0,3.2G,1.2Gb,SRX15687399,22314914
blood,4000000.0,1.2G,461.9Mb,SRX15687398,22314913
blood,7100000.0,2.1G,814.3Mb,SRX15687397,22314912
blood,2700000.0,809.8M,308.9Mb,SRX15687396,22314911
blood,2100000.0,636.1M,236.7Mb,SRX15687395,22314910
salvaged tissue,57 ,87,128b,SRX15687394,22314909
museum tissue,300790 ,90.2M,34.1Mb,SRX15687393,22314908
